dataset,fold,model,precision,recall,f1,accuracy,support_pos,support_neg
waimai,1,nb,0.8575539568345324,0.6607538802660754,0.7463994990607389,0.8311092577147623,902,1496
waimai,1,svm,0.7799145299145299,0.8093126385809313,0.794341675734494,0.8423686405337781,902,1496
waimai,2,nb,0.8761609907120743,0.6274944567627494,0.7312661498708011,0.8265221017514596,902,1496
waimai,2,svm,0.8097886540600667,0.8070953436807096,0.8084397556912826,0.8561301084236864,902,1496
waimai,3,nb,0.8522895125553914,0.6396895787139689,0.7308423052564914,0.8226950354609929,902,1495
waimai,3,svm,0.7731529656607701,0.8237250554323725,0.797638217928073,0.8427200667501042,902,1495
waimai,4,nb,0.8483920367534457,0.614190687361419,0.712540192926045,0.8135168961201502,902,1495
waimai,4,svm,0.7726775956284153,0.7838137472283814,0.7782058337919647,0.8318731748018356,902,1495
waimai,5,nb,0.8395061728395061,0.6037735849056604,0.7023886378308586,0.8076762619941593,901,1496
waimai,5,svm,0.8045454545454546,0.7857935627081021,0.7950589556428973,0.8477263245723822,901,1496
