dataset,fold,model,precision,recall,f1,accuracy,support_pos,support_neg
hotel,1,nb,0.946236559139785,0.4429530201342282,0.6034285714285714,0.7765614938828075,596,957
hotel,1,svm,0.7756714060031595,0.8238255033557047,0.7990235964198535,0.840952994204765,596,957
hotel,2,nb,0.9766536964980544,0.4218487394957983,0.5892018779342723,0.7746297488731487,595,958
hotel,2,svm,0.821256038647343,0.8571428571428571,0.8388157894736842,0.8737926593689633,595,958
hotel,3,nb,0.9588014981273408,0.43025210084033616,0.5939675174013921,0.7746297488731487,595,958
hotel,3,svm,0.7808641975308642,0.8504201680672269,0.8141592920353983,0.8512556342562781,595,958
hotel,4,nb,0.9540229885057471,0.4184873949579832,0.5817757009345794,0.7694784288473921,595,958
hotel,4,svm,0.8300653594771242,0.853781512605042,0.8417564208782105,0.8770122343850612,595,958
hotel,5,nb,0.9691119691119691,0.4218487394957983,0.5878220140515222,0.7733419188667096,595,958
hotel,5,svm,0.8255813953488372,0.8352941176470589,0.8304093567251462,0.8692852543464262,595,958
